link,rating,date,user_name,description,likes,sentiment_score
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURzNHY2cm93RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDs4v6rowE%7CCgwIt-ri8gUQkIKrggI%7C?hl=en,1.0,4 years ago,aSura,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZNTlHU3BRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICY59GSpQE%7CCgsInNX65QUQsNOlPA%7C?hl=en,5.0,5 years ago,Sundeep Sunjay,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURrMmU2OHBRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDk2e68pQE%7CCgwI743k6AUQiMebogM%7C?hl=en,3.0,5 years ago,Mahatva Anand,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZc0o3R3B3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICYsJ7GpwE%7CCgsI99P95AUQ8MjlEw%7C?hl=en,5.0,5 years ago,Asri Yasin,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURJdE9uVHB3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDItOnTpwE%7CCgwI0Y7_4AUQ0NSLpwE%7C?hl=en,5.0,5 years ago,Dayal Naveen,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURsZ2IzUnFBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDlgb3RqAE%7CCgsIx7WrqwYQ0JOMQQ%7C?hl=en,5.0,10 months ago,Selvabharathi Arunachalapandian,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaNF9hRHFRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDZ4_aDqQE%7CCgwIydOFqQYQ4Mb-lQM%7C?hl=en,4.0,a year ago,Amiya Rout,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURXb01Dbm5RRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDWoMCnnQE%7CCgsI3PqvkQYQuO-6Ug%7C?hl=en,1.0,2 years ago,Ravin Pant,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNEN2FqYXdnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICD7ajawgE%7CCgwI9vuksAYQ-MLSvwM%7C?hl=en,5.0,6 months ago,Aruldass Andrea,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDbk5PLXd3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICCnNO-wwE%7CCgwI9q3f-QUQsJiO4wE%7C?hl=en,4.0,4 years ago,Raja Raja,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNMTdhY2lnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICM17acigE%7CCgsI5Im57wUQkO7zYQ%7C?hl=en,4.0,4 years ago,Jagannadha Venugopal Anasapurapu,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURObU9QNDZBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDNmOP46AE%7CCgwInZ6vrQYQ4J2tgwE%7C?hl=en,4.0,8 months ago,Ramesh Jayaraj,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM0azgyUDZRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIC4k82P6QE%7CCgwIzJL_5wUQ4JzZpgM%7C?hl=en,4.0,5 years ago,Somnath Sinha,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURZbU5maDZRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDYmNfh6QE%7CCgsIiJSX5gUQ2OSsCA%7C?hl=en,4.0,5 years ago,Pradeep Khot,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURndllLQjZnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDgvYKB6gE%7CCgsI9sbP2AUQgMXYWA%7C?hl=en,3.0,6 years ago,Plamen Stoev,,0,0.0
